Identifiant arc;Libelle;Date et heure de comptage;Débit horaire;Taux d'occupation;Etat trafic;Identifiant noeud amont;Libelle noeud amont;Identifiant noeud aval;Libelle noeud aval;Etat arc;Date debut dispo data;Date fin dispo data;geo_point_2d;geo_shape
5671;Convention;2022-11-10T16:00:00+01:00;;50.87;Bloqué;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-03-19T22:00:00+01:00;508.0;2.90056;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-11-06T00:00:00+01:00;415.0;2.84278;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-11-05T23:00:00+01:00;407.0;2.66222;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-11-05T21:00:00+01:00;688.0;4.86333;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-11-05T20:00:00+01:00;735.0;4.625;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-11-05T16:00:00+01:00;704.0;4.57167;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-11-05T15:00:00+01:00;639.0;3.83222;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-11-05T13:00:00+01:00;695.0;3.71556;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-11-05T12:00:00+01:00;786.0;5.97667;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-11-05T11:00:00+01:00;650.0;7.31444;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-11-05T09:00:00+01:00;353.0;2.62334;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-11-05T08:00:00+01:00;232.0;1.605;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-11-05T05:00:00+01:00;167.0;0.87834;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-11-05T04:00:00+01:00;191.0;1.29111;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-11-05T03:00:00+01:00;242.0;1.56333;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.293205602717535;"{""coordinates"": [[2.2918783062727064, 48.83923810714603], [2.294532899162364, 48.83803063834104]], ""type"": ""LineString""}"
5671;Convention;2022-03-24T15:00:00+01:00;813.0;5.96389;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-01-09T23:00:00+01:00;319.0;1.64611;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-01-09T19:00:00+01:00;663.0;4.00611;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-01-09T18:00:00+01:00;726.0;4.61389;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-01-09T17:00:00+01:00;775.0;5.70611;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-01-09T13:00:00+01:00;608.0;4.15667;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-01-09T10:00:00+01:00;209.0;1.52389;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-01-09T08:00:00+01:00;146.0;1.00389;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-01-09T07:00:00+01:00;108.0;0.62722;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-01-09T05:00:00+01:00;133.0;0.75611;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-04-09T18:00:00+02:00;803.0;5.51945;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-05-05T15:00:00+02:00;830.0;5.59889;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-05-05T16:00:00+02:00;776.0;5.27722;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-05-05T18:00:00+02:00;1002.0;17.41833;Pré-saturé;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
5671;Convention;2022-03-24T16:00:00+01:00;804.0;5.50389;Fluide;2937;Lecourbe-Convention;2973;Convention-Blomet;Invalide;2005-01-01;2019-06-01;48.838634372743535,2.2932056027175345;"{""coordinates"": [[2.2918783063, 48.8392381071], [2.2945328992, 48.8380306383]], ""type"": ""LineString""}"
